group,title,link,thumbnail
NMIXX,DASH ,https://www.youtube.com/watch?v=7UecFm_bSTU,https://i.ytimg.com/vi/7UecFm_bSTU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBRkgftrBDDvoT7Ip8ugjAn_BKSVg
NMIXX,Soñar (Breaker),https://www.youtube.com/watch?v=MMtRxcy8PX0,https://i.ytimg.com/vi/MMtRxcy8PX0/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAxoltItiPPpgbmTKXWL-hmyTBMcw
NMIXX,Party O’Clock,https://www.youtube.com/watch?v=Rd2wppggYxo,https://i.ytimg.com/vi/Rd2wppggYxo/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAm-eTKX0yZy1qG5HHY9-5rTIaz5g
NMIXX,Roller Coaster,https://www.youtube.com/watch?v=fqBAzCH4-9g,https://i.ytimg.com/vi/fqBAzCH4-9g/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBSoU-yZRU-06kQY_N0vJ9r2TC30g
NMIXX,Love Me Like This,https://www.youtube.com/watch?v=EDnwWcFpObo,https://i.ytimg.com/vi/EDnwWcFpObo/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDQNMVkapeX_OsZZVSGBlMQfJSgOQ
NMIXX,"Young, Dumb, Stupid",https://www.youtube.com/watch?v=5eh6Vj_vVg4,https://i.ytimg.com/vi/5eh6Vj_vVg4/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDqwX3ARRXkoJUW4Tspqixz_cGeaw
NMIXX,Funky Glitter Christmas,https://www.youtube.com/watch?v=kBwikDvbRbI,https://i.ytimg.com/vi/kBwikDvbRbI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBt0Xv9OGR-UjJmJD5fNcYIkBvftw
NMIXX,DICE,https://www.youtube.com/watch?v=p1bjnyDqI9k,https://i.ytimg.com/vi/p1bjnyDqI9k/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCOU8rZceAZ5F02kl9yFpcWPiIIXg
NMIXX,O.O,https://www.youtube.com/watch?v=3GWscde8rM8,https://i.ytimg.com/vi/3GWscde8rM8/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDJf37G0So2eFGkErEl27vr6LW6Fw
ITZY,WANNABE,https://youtu.be/fE2h3lGlOsk?si=_Yv87O4mG26BBi7L,https://i.ytimg.com/vi/fE2h3lGlOsk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC6F85UnQjP3_9U0gehdYbbF6NTxw
